"","name","meet_year","race_group","class_year","team","meet1","meet2","meet3","Minnesota Intercollegiate Championships"
"815","  Sikes, Camden",2015,"Men","SO","Carleton","29.57333333","28.6",30.62666667,"30.88333333"
"816","  Silverman, Pombie",2015,"Women","JR","Carleton","23.615","25.005",24.31,"23.85666667"
"817","  Silverman, Pombie",2016,"Women","SR","Carleton","24.53","24.13666667",24.333333335,"24.97666667"
"818","  Simeck, Gabrielle",2014,"Women","FR","St. Olaf","27.04333333","26.42166667",26.7325,"25.23"
"819","  Simon, Peter",2014,"Men","SO","Concordia Moorhead","34.24666667","30.4",32.323333335,"29.77666667"
"820","  Simon, Peter",2015,"Men","JR","Concordia Moorhead","34.595","35.36666667",34.980833335,"31.72333333"
"821","  Simon, Peter",2016,"Men","SR","Concordia Moorhead","22.95166667","32.07",27.510833335,"32.485"
"822","  Simones, Victoria",2015,"Women","JR","St. Thomas","26.26666667","25.64833333",25.9575,"25.12333333"
"823","  Simpson, Lydia",2016,"Women","FR","Macalester","26.83833333","25.05166667",25.49333333,"25.43833333"
"824","  Simpson, Lydia",2017,"Women","SO","Macalester","24.96666667","25.73666667",25.28333333,"24.30166667"
"825","  Singh, Prabhjot",2016,"Women","SO","Gustavus Adolphus","30.55","29.635",29.54666667,"29.75166667"
"826","  Siska, Clare",2012,"Women","FR","Saint Mary's","25.285","25.65333333",25.469166665,"26.35833333"
"827","  Smith, Anja",2014,"Women","SO","Concordia Moorhead","27.565","27.43333333",27.499166665,"26.45"
"828","  Smith, Anja",2016,"Women","JR","Concordia Moorhead","28.30166667","27.91166667",28.10666667,"28.37"
"829","  Smith, Elena",2015,"Women","FR","Macalester","25.895","24.07833333",24.986666665,"24.55333333"
"830","  Smith, Elena",2016,"Women","SO","Macalester","26.93333333","24.93833333",24.65,"25.15333333"
"831","  Smith, Elena",2017,"Women","JR","Macalester","25.09333333","24.35",24.721666665,"24.29666667"
"832","  Smith, Keely",2015,"Women","FR","St. Thomas","27.47833333","26.87666667",27.1775,"28.68666667"
"833","  Smith, Megan",2012,"Women","SR","St. Benedict","24.36","24.48166667",24.420833335,"24.43666667"
"834","  Smith, Trevor",2015,"Men","JR","St. Thomas","27.68333333","26.17833333",26.93083333,"27.42666667"
"835","  Smith, Trevor",2016,"Men","SR","St. Thomas","26.59333333","26.65166667",26.6225,"26.49166667"
"836","  Sneltjes, Anna",2012,"Women","SO","Concordia Moorhead","27.545","26.77333333",27.159166665,"25.87666667"
"837","  Solheim, Nick",2016,"Men","JR","Concordia Moorhead","20.93666667","28.73",30.02333333,"29.77833333"
"838","  Solheim, Nick",2017,"Men","SR","Concordia Moorhead","20.105","30.03",28.61833333,"28.24166667"
"839","  Solis, Gianni",2017,"Women","FR","St. Thomas","26.90333333","29.50166667",28.2025,"26.84666667"
"840","  Sonnesyn, Marit ",2015,"Women","SR","Gustavus Adolphus","22.53","22.84333333",22.686666665,"23.31333333"
"841","  Soucheray, John",2012,"Men","JR","Saint Mary's","27.485","27.73333333",27.609166665,"26.87333333"
"842","  Speca, Marcus",2015,"Men","JR","Gustavus Adolphus","27.02833333","27.56166667",27.295,"27.93333333"
"843","  Spence, Frank",2015,"Men","FR","Carleton","31.43333333","32.96",32.196666665,"32.425"
"844","  Spray, Katie",2015,"Women","FR","St. Olaf","26.04666667","25.15833333",25.6025,"25.87166667"
"845","  Spray, Katie",2016,"Women","SO","St. Olaf","28.49","26.84166667",27.665833335,"26.16833333"
"846","  Stalnaker, Kathryn",2012,"Women","SO","Concordia Moorhead","24.18166667","24.82666667",24.99666667,"23.69333333"
"847","  Stanton, Heather",2012,"Women","JR","Concordia Moorhead","27.74833333","28.16833333",27.95833333,"27.305"
"848","  Stanton, Sara",2014,"Women","SO","Concordia Moorhead","29.26833333","26.58333333",27.92583333,"27.03666667"
"849","  Stanton, Sara",2015,"Women","JR","Concordia Moorhead","28.71666667","27.31666667",28.01666667,"27.57833333"
"850","  Stanton, Sara",2016,"Women","SR","Concordia Moorhead","27.25666667","27.55",27.765,"26.83333333"
"851","  Statz, Erin",2012,"Women","JR","St. Thomas","22.06166667","22.295",22.40666667,"22.66666667"
"852","  Steele, Matt",2015,"Men","FR","Macalester","31.72166667","32.46666667",32.21,"32.64"
"853","  Steinke, Ruth",2012,"Women","FR","Carleton","22.84166667","23.05166667",22.94666667,"22.93166667"
"854","  Steinke, Ruth",2015,"Women","SR","Carleton","22.07666667","22.06333333",22.07,"22.81833333"
"855","  Stelzner, Margaret",2014,"Women","FR","Macalester","28.665","29.68333333",29.174166665,"25.91"
"856","  Stelzner, Margaret",2015,"Women","SO","Macalester","27.675","26.595",27.135,"26.34833333"
"857","  Stelzner, Margaret",2016,"Women","JR","Macalester","29.35166667","26.68",27.57666667,"26.71"
"858","  Stelzner, Margaret",2017,"Women","SR","Macalester","26.64","28.55666667",28.51833333,"25.92833333"
"859","  Stephens, Shauna",2012,"Women","JR","Saint Mary's","26.21666667","27.39666667",26.80666667,"25.41666667"
"860","  Stewig, Blair",2016,"Women","JR","Augsburg","25.10833333","25.24333333",25.17583333,"25.41"
"861","  Stewig, Blair",2017,"Women","SR","Augsburg","25.68166667","25.775",25.728333335,"26.38166667"
"862","  Stolz, Katie",2012,"Women","SO","Saint Mary's","24.11166667","24.88666667",24.49916667,"23.96"
"863","  Stordahl, Tyler ",2015,"Men","FR","Gustavus Adolphus","28.885","30.96",29.9225,"29.79833333"
"864","  Stordahl, Tyler ",2016,"Men","SO","Gustavus Adolphus","31.13333333","30.78666667",29.79333333,"29.23833333"
"865","  Stordahl, Tyler ",2017,"Men","JR","Gustavus Adolphus","29.065","29.97333333",29.519166665,"29.18333333"
"866","  Stramp, Robin",2012,"Women","JR","St. Olaf","25.87666667","25.40166667",25.63916667,"25.13333333"
"867","  Strickland, Shannon",2016,"Women","SR","St. Catherine","24.65","27.42666667",26.038333335,"25.47166667"
"868","  Strootman, Samara",2017,"Women","FR","Concordia Moorhead","28.685","27.98333333",29.51,"27.98833333"
"869","  Stumbo, Andrew",2017,"Men","FR","Gustavus Adolphus","26.28166667","27.93666667",27.10916667,"25.875"
